	id	sentence	Past	Future	Comment
12941	Ford_1976_6	We have not remade paradise on Earth.	1	0	
29076	Roosevelt_1943_111	"Our experience will enable us during the coming year to improve the necessary mechanisms of wartime economic controls, and to simplify administrative procedures."	0	1	
12886	Ford_1975_174	"We are a great Nation--spiritually, politically, militarily, diplomatically, and economically."	0	0	
27723	Roosevelt_1934_39	"Such a national plan will, in a generation or two, return many times the money spent on it; more important, it will eliminate the use of inefficient tools, conserve and increase natural resources, prevent waste, and enable millions of our people to take better advantage of the opportunities which God has given our country."	0	1	
2414	Bush_2006_57	"In less than 3 years, that nation has gone from dictatorship, to liberation, to sovereignty, to a constitution, to national elections."	1	0	
3410	Carter_1978_184	The first and prime concern is and will remain the security of our country.	0	1	
12966	Ford_1976_31	The time has now come for a fundamentally different approach for a new realism that is true to the great principles upon which this Nation was founded.	1	1	
27418	Roosevelt_1908_365	"Inquiry into the condition of the Mississippi and its principal tributaries reveals very many instances of the utter waste caused by the methods which have hitherto obtained for the so-called ""improvement"" of navigation."	1	0	
2080	Bush_2004_239	"The outcome of this debate is important, and so is the way we conduct it."	0	1	
20590	Obama_2015_213	"Helping hard-working families make ends meet, giving them the tools they need for good-paying jobs in this new economy, maintaining the conditions of growth and competitivenessthis is where America needs to go."	0	1	
18459	Obama_2009_275	And we must show them and all our people that we are equal to the task before us.	0	1	
452	Bush_1990_162	I began tonight speaking about the changes we've seen this past year.	1	0	
35468	Trump_2018_284	"And that, together, they could light up the world."	0	1	Potential Past Potential?
24095	Roosevelt_1903_381	"Our generosity was such as to make it a serious question whether we had not gone too far in their interest at the expense of our own; for in our scrupulous desire to pay all possible heed, not merely to the real but even to the fancied rights of our weaker neighbor, who already owed so much to our protection and forbearance, we yielded in all possible ways to her desires in drawing up the treaty."	1	0	
25227	Roosevelt_1905_482	This fact has led to the grazing homestead of 640 acres in Nebraska and to the proposed extension of it to other States.	1	1	
12594	Eisenhower_1961_145	"The concept of a trained and dedicated government career service has been strengthened by the provision of life and health insurance benefits, a vastly improved retirement system, a new merit promotion program, and the first effective incentive awards program."	1	0	
8586	Coolidge_1924_98	A subcommittee of the Committees on Agriculture should investigate this field and negotiate with prospective purchasers.	0	1	
31042	Taft_1912_97	The question whether the use of American ports as foci of revolutionary intrigue can be best dealt with by a further amendment to the neutrality statutes or whether it would be safer to deal with special cases by special laws is one worthy of the careful consideration of the Congress.	0	1	
6274	Clinton_1996_22	We know there's not a program for every problem.	0	0	
4289	Carter_1981_487	I am confident that the newest arrivals to our country will carry on this tradition.	1	1	
3031	Bush_2008_112	This agreement will be effective only if it includes commitments by every major economy and gives none a free ride.	1	0	
7526	Clinton_1999_204	We also must be ready for the 21st century from its very first moment by solving the so-called Y2K computer problem.	0	1	
5824	Clinton_1995_19	"And to Ronald Reagan, whom we wish well tonight, and who exhorted us to carry on until the twilight struggle against Communism was won."	1	0	
12937	Ford_1976_2	"In man's long, upward march from savagery and slavery--throughout the nearly 2,000 years of the Christian calendar, the nearly 6,000 years of Jewish reckoning--there have been many deep, terrifying valleys, but also many bright and towering peaks."	1	0	
3981	Carter_1981_179	"In response, the President established the Kemeny Commission to review the accident and make recommendations."	1	0	
10200	Coolidge_1928_73	We could scarcely afford to be the only nation that refuses the relief which Austria seeks.	0	1	
6342	Clinton_1996_90	I challenge American businesses to give people on welfare the chance to move into the work force.	0	1	Ongoing?
22782	Roosevelt_1901_78	"Since the industrial changes which have so enormously increased the productive power of mankind, they are no longer sufficient."	1	1	
2698	Bush_2007_66	"And for the millions of other Americans who have no health insurance at all, this deduction would help put a basic private health insurance plan within their reach."	0	1	
4543	Carter_1981_741	"As one of our Nation's most outstanding leaders, it is appropriate that his birthday be commemorated as a national holiday."	1	0	
12828	Ford_1975_116	"It is the intent of this Administration to move ahead with exploration, leasing, and production on those frontier areas of the Outer Continental Shelf where the environmental risks are acceptable."	0	1	
5273	Clinton_1993_128	"We will reward the work of millions of working poor Americans by realizing the principle that if you work 40 hours a week and you've got a child in the house, you will no longer be in poverty."	0	1	
7060	Clinton_1998_103	We ought to help them in the same way if their factory closes.	0	1	
5582	Clinton_1994_145	"That may not be popular with either party, but it happens to be the truth."	0	0	
9374	Coolidge_1926_131	In working out this problem to any sound conclusion it is necessary to avoid putting the Government into the business of production or marketing or attempting to enact legislation for the purpose of price fixing.	0	1	
21648	Reagan_1984_73	But that's only a little more than half of what we sought.	1	0	
13192	Ford_1976_257	"We can see forward only dimly--1 year, 5 years, a generation perhaps."	0	1	
3459	Carter_1978_233	It has been said that our best years are behind us.	1	0	
32218	Truman_1946_542	3			NAS
559	Bush_1991_39	"Tonight, I come before this house, and the American people, with an appeal for renewal."	0	1	
25206	Roosevelt_1905_461	"Such officer or employe owes the duty to the United States to guard carefully and not to divulge or in any manner use, prematurely, information which is accessible to the officer or employe by reason of his official position."	0	0	
12215	Eisenhower_1960_20	But we must find some place to begin.	0	1	
34196	Truman_1952_31	In Europe combined defense has become a reality.	1	0	
7447	Clinton_1999_125	That's great.	0	0	
29979	Taft_1909_308	"They will furnish a satisfactory substitute, based on sound principle and actual successful trial in nearly all the countries of the world, for the system of government guaranty of deposits now being adopted in several western States, which with deference to those who advocate it seems to me to have in it the seeds of demoralization to conservative banking and certain financial disaster."	1	1	
28696	Roosevelt_1941_55	In the recent national election there was no substantial difference between the two great parties in respect to that national policy.	1	0	
14267	Hoover_1930_2	ECONOMIC SITUATION  During the past 12 months we have suffered with other Nations from economic depression.	1	0	
21378	Reagan_1983_67	The deficit problem is a clear and present danger to the basic health of our Republic.	0	1	
14193	Hoover_1929_336	"In addition adjusted service certificates have been issued to 3,433,300 veterans."	1	0	
2383	Bush_2006_26	"At the start of 2006, more than half the people of our world live in democratic nations."	0	0	
14746	Hoover_1932_67	The Nation should not ask for a reduction in allowances to men and dependents whose disabilities rise out of war service nor to those veterans with substantial service who have become totally disabled from non-war-connected causes and who are at the same time without other support.	1	1	
3869	Carter_1981_67	Fiscal restraint must be continued in the years ahead.	0	1	
32986	Truman_1947_47	Those messages will contain many recommendations.	0	1	
36215	Wilson_1918_20	The memory of those days of triumphant battle will go with these fortunate men to their graves; and each will have his favorite memory.	1	1	
6482	Clinton_1996_230	We still have much to do.	0	1	
381	Bush_1990_91	And I know this about the American people: we welcome competition.	0	0	
12280	Eisenhower_1960_85	No more startling contrast to a system of sullen satellites could be imagined.	0	0	
33536	Truman_1949_30	"As we look around the country, many of our shortcomings stand out in bold relief."	0	0	
14964	Johnson_1964_124	"We must achieve a more rigorous administration of our development assistance, with larger roles for private investors, for other industrialized nations, and for international agencies and for the recipient nations themselves."	0	1	
18518	Obama_2010_52	"And tonight, I'd like to talk about how together, we can deliver on that promise."	0	1	
36443	Wilson_1919_86	"I also renew my recommendation that the Congress pass a law regulating cold storage as it is regulated, for example, by the laws of the State of New Jersey, which limit the time during which goods may be kept in storage, prescribe the method of disposing of them if kept beyond the permitted period, and require that goods released from storage shall in all cases bear the date of their receipt."	0	1	
14323	Hoover_1930_58	"To increase taxation for purposes of construction work defeats its own purpose, as such taxes directly diminish employment in private industry."	0	0	
26724	Roosevelt_1907_523	Legislation should be enacted at the present session of the Congress for the Thirteenth Census.	0	1	
26890	Roosevelt_1907_689	The only efficient use for the Navy is for offense.	0	0	
32790	Truman_1946_1114	This reduction of 86 million dollars is in large part accounted for by elimination of the wartime flax production incentive project and other nonrecurring items; the proposed reduction in normal activities is less than 33 million dollars.	1	1	
16529	Kennedy_1962_242	"And millions of American workers--whose jobs depend on the sale or the transportation or the distribution of exports or imports, or whose jobs will be endangered by the movement of our capital to Europe, or whose jobs can be maintained only in an expanding economy--these millions of workers in your home States and mine will see their real interests sacrificed."	0	1	
4500	Carter_1981_698	We created the Regulatory Analysis Review Group in the White House to analyze the most costly proposed new rules and find ways to improve them.	1	1	
25068	Roosevelt_1905_323	"If all of the republics to the south of us will only grow as those to which I allude have already grown, all need for us to be the especial champions of the doctrine will disappear, for no stable and growing American Republic wishes to see some great non-American military power acquire territory in its neighborhood."	1	1	
34056	Truman_1951_133	We will understand the importance of this best if we look back into history.	1	1	
4370	Carter_1981_568	#NAME?			NAS
3334	Carter_1978_108	But one-third of the deficit is due to the necessary tax cuts that I've proposed.	1	1	
32810	Truman_1946_1134	"Private investment, over half of it by railways, may approach 1,150 million dollars."	0	1	
10657	Eisenhower_1954_161	"When budget savings and sound governmental financing are assured, tax burdens should be reduced so that taxpayers may spend their own money in their own way."	0	1	
9051	Coolidge_1925_286	"This is probably temporary, but it is none the less acute."	0	0	Ongoing?
23138	Roosevelt_1901_434	"No one point of our policy, foreign or domestic, is more important than this to the honor and material welfare, and above all to the peace, of our nation in the future."	0	1	
14558	Hoover_1931_131	"It is urgent that the banks be supported so as to stabilize the market values of their bonds and thus secure capital for the farmers at low rates, that they may continue their services to agriculture and that they may meet the present situation with consideration to the farmers."	0	1	
26782	Roosevelt_1907_581	"The expenditure of public money for the Performance of such necessary functions of government is certainly warranted, nor is it necessary to dwell upon the incidental benefits to our foreign commerce, to the shipbuilding industry, and to ship owning and navigation which will accompany the discharge of these urgent public duties, though they, too, should have weight."	0	1	
2292	Bush_2005_175	Syria still allows its territory and parts of Lebanon to be used by terrorists who seek to destroy every chance of peace in the region.	0	1	Ongoing?
1852	Bush_2004_11	"We can press on with economic growth and reforms in education and Medicare, or we can turn back to old policies and old divisions."	1	1	
2520	Bush_2006_163	"This year, the first of about 78 million baby boomers turn 60, including two of my dad's favorite people, me and President Clinton."	1	0	
18739	Obama_2010_273	"Last week, the Supreme Court reversed a century of law to open the floodgates for special interests  including foreign corporations  to spend without limit in our elections."	1	1	
28802	Roosevelt_1942_13	Japan's scheme of conquest goes back half a century.	1	0	
31104	Taft_1912_159	"INTERNATIONAL COMMISSION OF JURISTS  In pursuance of the convention of August 23, 1906, signed at the Third Pan American Conference, held at Rio de Janeiro, the International Commission of jurists met at that capital during the month of last June."	1	0	
35997	Wilson_1915_217	"It seems to me that it might be the part of wisdom, therefore, before further legislation in this field is attempted, to look at the whole problem of coordination and efficiency in the full light of a fresh assessment of circumstance and opinion, as a guide to dealing with the several parts of it."	0	1	
4151	Carter_1981_349	"Inflation has driven up home prices, operating costs and interest rates."	1	0	
32272	Truman_1946_596	Farmers' savings are the largest in history.	1	0	
22242	Reagan_1986_146	This year I will be asking Congress for the means to do what must be done for that great and good cause.	0	1	
14387	Hoover_1930_122	I therefore suggest that an inquiry be directed especially to the effect of the workings of the antitrust laws in these particular fields to determine if these evils can be remedied without sacrifice of the fundamental purpose of these laws.	0	1	
33762	Truman_1950_72	"We shall continue our efforts for world economic recovery, because world prosperity is the only sure foundation of a permanent peace."	1	1	
36267	Wilson_1918_72	"I particularly direct your attention to the very practical plans which the Secretary of the Interior has developed in his annual report and before your Committees for the reclamation of arid, swamp, and cutover lands which might, if the States were willing and able to cooperate, redeem some three hundred million acres of land for cultivation."	1	1	
25933	Roosevelt_1906_395	The harbor of San Juan in Porto Rico should be dredged and improved.	0	1	
11028	Eisenhower_1955_247	"By special message on January 24, I shall propose a coordinated program to strengthen and improve existing health services."	0	1	
30469	Taft_1911_233	"I infer from your dispatch that both parties attempt to heed the warning, but that in the strain and exigency of the contest wild bullets still find their way into Douglas."	0	0	
16339	Kennedy_1962_52	"I will, therefore, submit to the Congress a new comprehensive farm program--tailored to fit the use of our land and the supplies of each crop to the long-range needs of the sixties--and designed to prevent chaos in the sixties with a program of common sense."	0	1	
11126	Eisenhower_1956_10	"As a people, we are achieving ever higher standards of living--earning more, producing more, consuming more, building more and investing more than ever before."	1	0	Ongoing?
15605	Johnson_1967_128	We appointed the National Crime Commission to study crime in America and to recommend the best ways to carry that attack forward.	1	1	
1340	Bush_2002_8	America and Afghanistan are now allies against terror.	0	0	
28954	Roosevelt_1942_165	"We are fighting today for security, for progress, and for peace, not only for ourselves but for all men, not only for one generation but for all generations."	0	1	
13847	Harding_1922_216	"In Washington to-day are met the delegates of the Central American nations, gathered at the table of international understanding, to stabilize their Republics and remove every vestige of disagreement."	0	1	
10513	Eisenhower_1954_17	These are steps in the continuing effort to eliminate inter-racial difficulty.	0	1	
4021	Carter_1981_219	"In addition, reported cases of measles and mumps are at their lowest levels ever."	1	0	
25891	Roosevelt_1906_353	"If it prove impracticable to enact a law for the encouragement of shipping generally, then at least provision should be made for better communication with South America, notably for fast mail lines to the chief South American ports."	0	1	
19844	Obama_2013_137	Democrats and Republicans have supported it before.	1	0	
25296	Roosevelt_1905_551	"These laws have been, are being, and will be, thoroughly enforced."	1	1	
18483	Obama_2010_17	Many businesses have shuttered.	1	0	
6318	Clinton_1996_66	"So all of us, not just as parents, but all of us in our other roles--our media, our schools, our teachers, our communities, our churches and synagogues, our businesses, our governments--all of us have a responsibility to help our children to make it and to make the most of their lives and their God-given capacities."	0	0	General?
12705	Eisenhower_1961_256	"Abroad, there is the continuing Communist threat to the freedom of Berlin, an explosive situation in Laos, the problems caused by Communist penetration of Cuba, as well as the many problems connected with the development of the new nations in Africa."	0	1	
7913	Clinton_2000_199	"With courage--and a tie-breaking vote by the Vice President--the Senate faced down the gun lobby, stood up for the American people, and passed this legislation."	1	0	
1490	Bush_2002_158	"For too long our culture has said, ""If it feels good, do it."""	1	0	
20009	Obama_2013_302	"Indeed, no laws, no initiatives, no administrative acts will perfectly solve all the challenges I've outlined tonight."	0	1	
6756	Clinton_1997_148	"This is the first State of the Union carried live in video over the Internet, but we've only begun to spread the benefits of a technology revolution that should become the modern birthright of every citizen."	0	1	
32312	Truman_1946_636	It is time we made that possibility a reality.	0	1	Tricky
205	Bush_1989_205	We need less bureaucracy.	0	1	
14684	Hoover_1932_5	Education and science have made further advances.	1	0	
5219	Clinton_1993_74	By the year 2000 almost 20 percent of our income will be in health care.	0	1	
16057	Johnson_1968_225	We will ask the Congress to help carry out those parts of the program which require legislation.	0	1	
17417	Nixon_1970_55	"As a people, we had too many visions--and too little vision."	1	0	
18688	Obama_2010_222	So let me start the discussion of government spending by setting the record straight.	1	0	
28862	Roosevelt_1942_73	"This production of ours in the United States must be raised far above present levels, even though it will mean the dislocation of the lives and occupations of millions of our own people."	0	1	
430	Bush_1990_140	"We've got to take the time after a busy day to sit down and read with our kids, help them with their homework, pass along the values we had as children."	1	1	
22493	Reagan_1988_16	"Our record is not just the longest peacetime expansion in history but an economic and social revolution of hope based on work, incentives, growth, and opportunity; a revolution of compassion that led to private sector initiatives and a 77-percent increase in charitable giving; a revolution that at a critical moment in world history reclaimed and restored the American dream."	1	0	
25521	Roosevelt_1905_776	I recommend more adequate provision than has been made heretofore for the work of the Department of State.	1	1	
7086	Clinton_1998_129	I'm pleased to report we have also met that goal two full years ahead of schedule.	1	0	Tricky
33829	Truman_1950_139	"I also hope before this session is over to transmit to the Congress a series of proposals to strengthen the antimonopoly laws, to assist small business, and to encourage the growth of new enterprises."	0	1	
33394	Truman_1948_162	One-fifth of our families now have average annual incomes of less than $850.	0	0	
615	Bush_1991_95	I know their are differences among us about the impact and the effects of a capital gains incentive.	0	0	
11314	Eisenhower_1956_198	"Rather, there must be a many-sided assault on the stubborn problems of surpluses, prices, costs, and markets; and a steady, persistent, imaginative advance in the relationship between farmers and their government."	0	1	
1425	Bush_2002_93	Time and distance from the events of September the 11th will not make us safer unless we act on its lessons.	1	1	
35915	Wilson_1915_135	"It is made my duty by law, whenever the estimates of expenditure exceed the estimates of revenue, to call the attention of the Congress to the fact and suggest any means of meeting the deficiency that it may be wise or possible for me to suggest."	1	1	
4352	Carter_1981_550	We have successfully fought against red lining and housing discrimination.	1	0	
3695	Carter_1980_57	"And I have notified the Olympic Committee that with Soviet invading forces in Afghanistan, neither the American people nor I will support sending an Olympic team to Moscow."	1	1	
15546	Johnson_1967_69	But your efforts will come to nothing unless it reaches the people.	0	1	
25740	Roosevelt_1906_202	Since the founding of the Commission there has never been a time of equal length in which anything like so many reduced tariffs have been put into effect.	1	0	
30622	Taft_1911_386	The rapid growth of our foreign trade makes it of the utmost importance that governmental agencies through which that trade is to be aided and protected should possess a high degree of efficiency.	0	1	
32602	Truman_1946_926	No less important than the level of interest rates paid on the debt is the distribution of its ownership.	0	0	
36574	Wilson_1920_55	These heroic men can never be paid in money for the service they patriotically rendered the nation.	1	1	
4342	Carter_1981_540	"To ensure that the necessary economic development goes forward, the Congress must continue to provide strong support for the UDAG program and the programs for the Economic Development Administration."	0	1	Ongoing?
34396	Truman_1952_231	"But of one thing I am sure: something must be done, and done soon."	0	1	
36246	Wilson_1918_51	"Our people, moreover, do not wait to be coached and led."	0	0	General?
27134	Roosevelt_1908_81	"There should be regulation by the National Government of the great interstate corporations, including a simple method of account keeping, publicity, supervision of the issue securities, abolition of rebates, and of special privileges."	0	1	
31757	Truman_1946_81	That progress has speeded internal development and has changed world relationships so fast that we must realize the fact of a new era.	1	1	
28653	Roosevelt_1941_12	In like fashion from 1815 to 1914--ninety-nine years--no single war in Europe or in Asia constituted a real threat against our future or against the future of any other American nation.	1	1	
24444	Roosevelt_1904_230	This method of action often resulted in badly chosen boundaries and consequent injustice to settlers and others.	1	0	
544	Bush_1991_24	"The triumph of democratic ideas in Eastern Europe and Latin America, and the continuing struggle for freedom elsewhere around the world all confirm the wisdom of our nation's founders."	1	0	
149	Bush_1989_149	But remember this: The overwhelming majority of all preschool child care is now provided by relatives and neighbors and churches and community groups.	0	0	
21306	Reagan_1982_252	"Let us so conduct ourselves that two centuries from now, another Congress and another President, meeting in this Chamber as we are meeting, will speak of us with pride, saying that we met the test and preserved for them in their day the sacred flame of liberty--this last, best hope of man on Earth."	0	1	
6514	Clinton_1996_262	"But where our interests and our values are at stake, and where we can make a difference, America must lead."	0	1	General?
25395	Roosevelt_1905_650	"The most serious is the destruction by the rinderpest of more than 75 per cent of the draught cattle, because it will take several years of breeding to restore the necessary number of these indispensable aids to agriculture."	0	1	
33554	Truman_1949_48	"Indeed, the greater part of the task must be performed by individual efforts under our system of free enterprise."	0	1	
13119	Ford_1976_184	The sale of hard drugs is tragically on the increase again.	1	0	Ongoing?
16533	Kennedy_1962_246	The Communist economic offensive is under way.	0	1	Ongoing?
11084	Eisenhower_1955_303	We must continue our program to help our Indian citizens improve their lot and make their full contribution to national life.	0	1	
23038	Roosevelt_1901_334	We do not wish a region of large estates tilled by cheap labor; we wish a healthy American community of men who themselves till the farms they own.	0	1	
11607	Eisenhower_1957_114	Yet we must not delude ourselves that safety necessarily increases as expenditures for military research or forces in being go up.	0	1	
34226	Truman_1952_61	"Now, I must turn to the debit side of the ledger for the past year."	1	0	
23405	Roosevelt_1902_22	"The insurance companies, which are practically mutual benefit societies--especially helpful to men of moderate means--represent accumulations of capital which are among the largest in this country."	0	0	
15410	Johnson_1966_175	"We increased our fighting force to its present strength tonight of 190,000 men."	1	0	
19927	Obama_2013_220	"Beyond 2014, America's commitment to a unified and sovereign Afghanistan will endure, but the nature of our commitment will change."	0	1	
6892	Clinton_1997_284	We must maintain a strong and ready military.	0	1	General?
22874	Roosevelt_1901_170	But there should be a comprehensive law enacted with the object of working a threefold improvement over our present system.	0	1	
6826	Clinton_1997_218	Our economy is measured in numbers and statistics.	0	0	
7496	Clinton_1999_174	"Taxpayers shouldn't pay for the cost of lung cancer, emphysema, and other smoking-related illnesses, the tobacco companies should."	0	1	
5298	Clinton_1993_153	"I believe lobby reform and campaign finance reform are a sure path to increased popularity for Republicans and Democrats alike because it says to the voters back home, ""This is your House."	0	1	
14618	Hoover_1931_191	"The Administrator of Veterans' Affairs advises that a further appropriation of $200,000,000 is required at once to meet the obligations made necessary by existing legislation."	0	1	
4782	Carter_1981_980	"We are prepositioning more heavy equipment in Europe to help us cope with attacks with little warning, and greatly strengthening our airlift and sealift capabilities."	0	1	
27887	Roosevelt_1935_126	The maintenance of international peace is a matter in which we are deeply and unselfishly concerned.	0	0	
27414	Roosevelt_1908_361	"Action should be begun forthwith, during the present session of the Congress, for the improvement of our inland waterways--action which will result in giving us not only navigable but navigated rivers."	0	1	
16356	Kennedy_1962_69	"To relieve the critical shortage of doctors and dentists--and this is a matter which should concern us all--and expand research, I urge action to aid medical and dental colleges and scholarships and to establish new National Institutes of Health."	0	1	
7807	Clinton_2000_93	"This year, I ask you to make it three in a row."	0	1	
32420	Truman_1946_744	(k) Education.			NAS
28865	Roosevelt_1942_76	It must be done--and we have undertaken to do it.	1	1	
16771	Kennedy_1963_212	"Through hot wars and cold, through recession and prosperity, through the ages of the atom and outer space, the American people have never faltered and their faith has never flagged."	1	0	
24544	Roosevelt_1904_330	"Extensive sales of forged certificates of naturalization have been discovered, as well as many cases of naturalization secured by perjury and fraud; and in addition, instances have accumulated showing that many courts issue certificates of naturalization carelessly and upon insufficient evidence."	1	0	
228	Bush_1989_228	Our diplomacy must work every day against the proliferation of nuclear weapons.	0	1	
33728	Truman_1950_38	We will not fail them.	0	1	
31500	Taft_1912_555	"In these days, when we should be making progress in court procedure, such a conformity statute makes the Federal method too dependent upon the action of State legislatures."	0	1	
19480	Obama_2012_191	That's right -- eight years.	0	0	
17561	Nixon_1971_2	He never spoke about himself.	1	0	
35529	Wilson_1913_29	I take leave to beg that the whole energy and attention of the Senate be concentrated upon it till the matter is successfully disposed of.	0	1	
17887	Nixon_1972_136	"We believe that a person should get what he works for--and that those who can, should work for what they get."	0	0	
12602	Eisenhower_1961_153	"Aided by this humanitarian program, total agricultural exports have grown from $2.8 billion in 1953 to an average of about $4 billion annually for the past three years."	1	0	
36142	Wilson_1917_85	"The Russian people have been poisoned by the very same falsehoods that have kept the German people in the dark, and the poison has been administered by the very same hand."	1	0	
11252	Eisenhower_1956_136	"I am requesting, therefore, that the Congress once again extend the Defense Production Act."	0	1	
36426	Wilson_1919_69	"In this direct connection, I would call your attention to my recommendations on August 8th, pointing out legislative measures which would be effective in controlling and bringing down the present cost of living, which contributes so largely to this unrest."	1	1	
1498	Bush_2002_166	"To sustain and extend the best that has emerged in America, I invite you to join the new USA Freedom Corps."	1	1	
32418	Truman_1946_742	Provision should be made for extending coverage credit to veterans for the period of their service in the armed forces.	0	1	
17521	Nixon_1970_159	"In particular, the Federal Government must be in a position to assist in the building of new cities and the rebuilding of old ones."	1	1	
5681	Clinton_1994_244	We will seek early ratification of the treaty to ban chemical weapons worldwide.	0	1	
7791	Clinton_2000_77	"For seven years, we have worked hard to improve our schools, with opportunity and responsibility: Investing more, but demanding more in return."	1	0	
34307	Truman_1952_142	"But far more important, in the long run, is the work Americans are doing in India to help the Indian farmers themselves raise more grain."	0	1	
20302	Obama_2014_268	"In Yemen, Somalia, Iraq, and Mali, we have to keep working with partners to disrupt and disable these networks."	0	1	Ongoing?
30303	Taft_1911_67	"It is not intended thereby to prevent the accumulation of large capital in business enterprises in which such a combination can secure reduced cost of production, sale, and distribution."	0	1	
9036	Coolidge_1925_271	"This is nearly the amount of the total cost of the National Government, exclusive of the post office, before we entered the last war."	1	0	
14582	Hoover_1931_155	The establishment of the mortgage-discount banks herein referred to will also contribute to further reserve strength in the banks without inflation.	1	1	
27704	Roosevelt_1934_20	"With the twofold purpose of strengthening the whole financial structure and of arriving eventually at a medium of exchange which over the years will have less variable purchasing and debt paying power for our people than that of the past, I have used the authority granted me to purchase all American-produced gold and silver and to buy additional gold in the world markets."	1	1	
32291	Truman_1946_615	"Beyond the relief feeding period, there will still be substantial foreign outlets for our farm commodities."	0	1	
4221	Carter_1981_419	The new Administration should continue to work to eliminate transportation bottlenecks that impede our access to foreign markets.	0	1	Ongoing?
2381	Bush_2006_24	"Today, there are 122."	0	0	
11705	Eisenhower_1958_25	"The Soviets are, in short, waging total cold war."	0	0	
13349	Ford_1977_140	We must explore every reasonable prospect for meeting our energy needs when our current domestic reserves of oil and natural gas begin to dwindle in the next decade.	0	1	
27382	Roosevelt_1908_329	"Many centuries would have to pass before soil would again collect, or could be made to collect, in sufficient quantity once more to support the old-time forest growth."	1	1	
36078	Wilson_1917_21	But from another point of view I believe that it is necessary to say plainly what we here at the seat of action consider the war to be for and what part we mean to play in the settlement of its searching issues.	0	1	
6119	Clinton_1995_314	This legislation is the right thing for America.	0	0	
4760	Carter_1981_958	The new M-X missile program to enhance our land-based intercontinental ballistic missile force continues to make progress.	1	0	Ongoing?
15007	Johnson_1965_29	"In our relations with the world we shall follow the example of Andrew Jackson who said: ""I intend to ask for nothing that is not clearly right and to submit to nothing that is wrong."""	0	1	
36425	Wilson_1919_68	Legislation to this end has been recommended by the Attorney General and should be enacted.	1	1	
25071	Roosevelt_1905_326	"We desire peace with all the world, but perhaps most of all with the other peoples of the American Continent."	0	1	
22173	Reagan_1986_77	You know my views on this.	0	0	
14644	Hoover_1931_217	"Substantial progress is being made upon the projects of the upper Missouri, upper Mississippi, etc."	0	0	Ongoing?
7193	Clinton_1998_236	"The United Nations weapons inspectors have done a truly remarkable job, finding and destroying more of Iraq's arsenal than was destroyed during the entire gulf war."	1	0	
2248	Bush_2005_131	"Because one of the main sources of our national unity is our belief in equal justice, we need to make sure Americans of all races and backgrounds have confidence in the system that provides justice."	0	1	General?
11909	Eisenhower_1958_229	"Last August the United Nations General Assembly, by an overwhelming vote, approved a disarmament plan that we and our allies sincerely believed to be fair and practical."	1	0	
21076	Reagan_1982_22	"Inflation remained in double digits, and government spending increased at an annual rate of 17 percent."	1	0	
30714	Taft_1911_478	I In the Treasury Department the efficiency and economy work has been kept steadily up.	1	0	
21108	Reagan_1982_54	"Together we have made a New Beginning, but we have only begun."	1	1	
21792	Reagan_1984_217	Governments which rest upon the consent of the governed do not wage war on their neighbors.	0	0	
10772	Eisenhower_1954_276	But enterprise and ambition are qualities which no government can supply.	0	0	
36044	Wilson_1916_40	The present laws governing the island and regulating the rights and privileges of its people are not just.	0	0	
11746	Eisenhower_1958_66	The world also thinks of us as a land which has never enslaved anyone and which is animated by humane ideals.	1	0	
4794	Carter_1981_992	RAPID DEPLOYMENT FORCES  We are systematically enhancing our ability to respond rapidly to non-NATO contingencies wherever required by our commitments or when our vital interests are threatened.	0	1	
21033	Obama_2016_279	I see you.	0	0	
494	Bush_1990_204	"Well, maybe you're right."	0	0	
29939	Taft_1909_268	"We believe, however, that the rules of procedure in the Federal courts with respect to the issuance of the writ of injunction should be more accurately defined by statute, and that no injunction or temporary restraining order should be issued without notice, except where irreparable injury would result from delay, in which case a speedy hearing thereafter should be granted."""	0	1	
30558	Taft_1911_322	LIBERIA.			NAS
11982	Eisenhower_1959_49	"Other billions go for research, development, test and evaluation of new weapons systems."	0	0	
14742	Hoover_1932_63	I will recommend measures to eliminate certain payments in the veterans' services.	0	1	
27283	Roosevelt_1908_230	The legislators and executives are chosen to represent the people in enacting and administering the laws.	1	0	
26390	Roosevelt_1907_189	"Nevertheless, there is an evident and constantly growing feeling among our people that the time is rapidly approaching when our system of revenue legislation must be revised."	0	1	
33840	Truman_1950_150	"However, our farm legislation is still not adequate."	0	1	
22625	Reagan_1988_148	And let me add here: So many of our greatest statesmen have reminded us that spiritual values alone are essential to our nation's health and vigor.	1	0	
3159	Bush_2008_240	We will not rest until this enemy has been defeated.	0	1	
31822	Truman_1946_146	The question is how justice among nations is best achieved.	0	1	
27055	Roosevelt_1908_2	"But our currency system is imperfect, and it is earnestly to be hoped that the Currency Commission will be able to propose a thoroughly good system which will do away with the existing defects."	0	1	
14599	Hoover_1931_172	"The Interstate Commerce Commission has made important and far-reaching recommendations upon the whole subject, which I commend to the early consideration of the Congress."	1	0	
18816	Obama_2010_350	But we also do it because it is right.	0	0	
20132	Obama_2014_98	But the debate is settled.	1	0	
3871	Carter_1981_69	Careful budget policy should be supplemented by other measures designed to reduce inflation at lower cost in lost output and employment.	0	1	
9441	Coolidge_1926_198	We have been proceeding under the act of Congress that contemplates the establishment of trade routes to be ultimately transferred to private ownership and operation.	1	0	
